File Name (Addition)		|A		+	B		=	C
cla32_0x7FFFFFFF_0x00000001_ADD	|0x7FFFFFFF	+	0x00000001	=	0x80000000
cla32_0x7FFFFFFF_0x80000000_ADD	|0x7FFFFFFF	+	0x80000000	=	0xFFFFFFFF
cla32_0x12162019_0x00040000_ADD	|0x12162019	+	0x00040000	=	0x121A2019
cla32_0x11031997_0x01130682_ADD	|0x11031997	+	0x01130682	=	0x12162019
cla32_0x09161998_0x09000681_ADD	|0x09161998	+	0x09000681	=	0x12162019

File Name (Subtraction)		|C		-	B		=	A
cla32_0x80000000_0x00000001_SUB	|0x80000000	-	0x00000001	=	0x7FFFFFFF
cla32_0xFFFFFFFF_0x80000000_SUB	|0xFFFFFFFF	-	0x80000000	=	0x7FFFFFFF
cla32_0x121A2019_0x00040000_SUB	|0x121A2019	-	0x00040000	=	0x12162019
cla32_0x12162019_0x01130682_SUB	|0x12162019	-	0x01130682	=	0x11031997
cla32_0x12162019_0x09000681_SUB	|0x12162019	-	0x09000681	=	0x09161998
